activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32336,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '14.76', 'le': '0.27', 'lle': '-0.12', 'sei': '8.29'}",CHEMBL69638,,CHEMBL69638,5.47,False,http://www.openphacts.org/units/Nanomolar,120764,=,1,True,=,,IC50,nM,,3400.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,3.4
,40694,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '16.10', 'le': '0.29', 'lle': '1.66', 'sei': '7.22'}",CHEMBL419082,,CHEMBL419082,6.22,False,http://www.openphacts.org/units/Nanomolar,120769,=,1,True,=,,IC50,nM,,600.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.6
,41980,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.15', 'le': '0.27', 'lle': '-0.42', 'sei': '10.09'}",CHEMBL304760,,CHEMBL304760,4.75,False,http://www.openphacts.org/units/Nanomolar,120771,=,1,True,=,,IC50,nM,,17870.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,17.87
,41987,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '18.48', 'le': '0.33', 'lle': '1.32', 'sei': '9.65'}",CHEMBL307982,,CHEMBL307982,6.37,False,http://www.openphacts.org/units/Nanomolar,120767,=,1,True,=,,IC50,nM,,430.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.43
,43153,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccccc1Oc1ccccc1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '14.33', 'le': '0.26', 'lle': '-0.28', 'sei': '8.05'}",CHEMBL68774,,CHEMBL68774,5.31,False,http://www.openphacts.org/units/Nanomolar,120763,=,1,True,=,,IC50,nM,,4900.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,4.9
,49413,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '18.72', 'le': '0.34', 'lle': '2.67', 'sei': '8.39'}",CHEMBL69129,,CHEMBL69129,7.23,False,http://www.openphacts.org/units/Nanomolar,120765,=,1,True,=,,IC50,nM,,58.3,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.0583
,51887,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '16.96', 'le': '0.31', 'lle': '3.29', 'sei': '6.41'}",CHEMBL69827,,CHEMBL69827,6.82,False,http://www.openphacts.org/units/Nanomolar,120762,=,1,True,=,,IC50,nM,,150.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.15
,53297,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '18.32', 'le': '0.34', 'lle': '2.01', 'sei': '7.40'}",CHEMBL306380,,CHEMBL306380,5.16,False,http://www.openphacts.org/units/Nanomolar,120761,=,1,True,=,,IC50,nM,,7000.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,7.0
,60801,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '17.14', 'le': '0.34', 'lle': '1.06', 'sei': '9.09'}",CHEMBL306012,,CHEMBL306012,5.16,False,http://www.openphacts.org/units/Nanomolar,120766,=,1,True,=,,IC50,nM,,7000.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,7.0
,62147,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.40', 'le': '0.28', 'lle': '0.11', 'sei': '8.65'}",CHEMBL47940,,CHEMBL47940,5.70,True,http://www.openphacts.org/units/Nanomolar,120768,=,1,True,=,,IC50,nM,,1980.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,1.98
,66114,[],CHEMBL847682,Inhibition of tie-2 at 5 uM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.54', 'le': '0.28', 'lle': '0.34', 'sei': '8.45'}",CHEMBL302281,,CHEMBL302281,5.57,False,http://www.openphacts.org/units/Nanomolar,120770,=,1,True,=,,IC50,nM,,2680.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,2.68
,228212,[],CHEMBL824161,Inhibition against human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Cc2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)[C@@H]1C[C@H]1c1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '11.03', 'le': '0.20', 'lle': '2.08', 'sei': '5.73'}",CHEMBL416091,,CHEMBL416091,6.56,False,http://www.openphacts.org/units/Nanomolar,75956,=,1,True,=,,IC50,nM,,275.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.275
,230639,[],CHEMBL809318,Inhibition of TIE-2 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '12.66', 'le': '0.23', 'lle': '1.52', 'sei': '7.18'}",CHEMBL44577,,CHEMBL44577,6.12,False,http://www.openphacts.org/units/Nanomolar,75958,=,1,True,=,,IC50,nM,,750.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.75
,230701,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '9.86', 'le': '0.18', 'lle': '1.26', 'sei': '4.66'}",CHEMBL297363,,CHEMBL297363,5.33,True,http://www.openphacts.org/units/Nanomolar,75946,=,1,True,=,,IC50,nM,,4680.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,4.68
,233268,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)C(C)(C)Cc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '9.79', 'le': '0.18', 'lle': '0.82', 'sei': '5.10'}",CHEMBL417006,,CHEMBL417006,5.84,False,http://www.openphacts.org/units/Nanomolar,75954,=,1,True,=,,IC50,nM,,1440.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,1.44
,233272,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)OCc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '11.01', 'le': '0.20', 'lle': '1.72', 'sei': '5.08'}",CHEMBL47787,,CHEMBL47787,6.28,True,http://www.openphacts.org/units/Nanomolar,75951,=,1,True,=,,IC50,nM,,521.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.521
,234548,[],CHEMBL824161,Inhibition against human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(NCc5cc6ccccc6[nH]5)cc4)c4c(N)ncnc43)CC2)CC1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '12.49', 'le': '0.23', 'lle': '1.79', 'sei': '6.44'}",CHEMBL45683,,CHEMBL45683,6.69,False,http://www.openphacts.org/units/Nanomolar,75947,=,1,True,=,,IC50,nM,,203.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.203
,238325,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(C(=O)c5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '10.58', 'le': '0.19', 'lle': '1.20', 'sei': '5.63'}",CHEMBL45693,,CHEMBL45693,5.24,False,http://www.openphacts.org/units/Nanomolar,75952,=,1,True,=,,IC50,nM,,5730.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,5.73
,242450,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '12.88', 'le': '0.24', 'lle': '1.67', 'sei': '7.05'}",CHEMBL46785,,CHEMBL46785,6.22,False,http://www.openphacts.org/units/Nanomolar,75945,=,1,True,=,,IC50,nM,,606.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.606
,246616,[],CHEMBL809318,Inhibition of TIE-2 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NCc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '11.29', 'le': '0.21', 'lle': '1.52', 'sei': '6.11'}",CHEMBL45582,,CHEMBL45582,5.95,False,http://www.openphacts.org/units/Nanomolar,75959,=,1,True,=,,IC50,nM,,1130.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,1.13
,249300,[],CHEMBL824161,Inhibition against human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2o1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '10.32', 'le': '0.19', 'lle': '1.18', 'sei': '4.70'}",CHEMBL43773,,CHEMBL43773,5.99,False,http://www.openphacts.org/units/Nanomolar,75953,=,1,True,=,,IC50,nM,,1020.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,1.02
,250612,[],CHEMBL809318,Inhibition of TIE-2 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN([C@H]2CC[C@H](n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '13.68', 'le': '0.25', 'lle': '1.40', 'sei': '9.11'}",CHEMBL45177,,CHEMBL45177,6.60,True,http://www.openphacts.org/units/Nanomolar,75957,=,1,True,=,,IC50,nM,,250.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.25
,252043,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)CCc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '9.87', 'le': '0.18', 'lle': '1.22', 'sei': '4.90'}",CHEMBL295601,,CHEMBL295601,5.61,True,http://www.openphacts.org/units/Nanomolar,75944,=,1,True,=,,IC50,nM,,2450.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,2.45
,256156,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NS(=O)(=O)Nc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '10.23', 'le': '0.20', 'lle': '2.47', 'sei': '4.22'}",CHEMBL46176,,CHEMBL46176,6.05,False,http://www.openphacts.org/units/Nanomolar,75948,=,1,True,=,,IC50,nM,,888.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.888
,257551,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)CC(C)(C)c1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '10.12', 'le': '0.19', 'lle': '0.92', 'sei': '5.28'}",CHEMBL295528,,CHEMBL295528,6.04,False,http://www.openphacts.org/units/Nanomolar,75955,=,1,True,=,,IC50,nM,,910.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.91
,258864,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)Nc1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '10.85', 'le': '0.20', 'lle': '1.57', 'sei': '4.77'}",CHEMBL45651,,CHEMBL45651,6.03,False,http://www.openphacts.org/units/Nanomolar,75950,=,1,True,=,,IC50,nM,,933.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.933
,260182,[],CHEMBL697304,Inhibition of human tie-2 kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NS(=O)(=O)c1ccccc1,,,CHEMBL1135159,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '11.90', 'le': '0.23', 'lle': '3.24', 'sei': '5.22'}",CHEMBL402673,,CHEMBL402673,6.86,False,http://www.openphacts.org/units/Nanomolar,75949,=,1,True,=,,IC50,nM,,137.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.137
,316954,[],CHEMBL814623,Inhibition of Tyrosine protein kinase TIE-2 at ATP <Km,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,,,CHEMBL1135889,J. Med. Chem.,2002.0,,CHEMBL281872,ZD-4190,CHEMBL281872,,False,http://www.openphacts.org/units/Nanomolar,35685,>,1,True,>,,IC50,nM,,100000.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,100.0
,328356,[],CHEMBL814624,Inhibition of Tyrosine protein kinase TIE-2 at ATP <Km,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,,,CHEMBL1135889,J. Med. Chem.,2002.0,"{'bei': '11.78', 'le': '0.26', 'lle': '0.60', 'sei': '9.41'}",CHEMBL533849,,CHEMBL24828,5.60,False,http://www.openphacts.org/units/Nanomolar,35684,=,1,True,=,,IC50,nM,,2500.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,2.5
,438323,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.08', 'le': '0.27', 'lle': '1.55', 'sei': '5.72'}",CHEMBL67598,,CHEMBL67598,6.24,False,http://www.openphacts.org/units/Nanomolar,121072,=,1,True,=,,IC50,nM,,580.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.58
,439639,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3O)cc1)cn2C1CCCC1,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '16.18', 'le': '0.29', 'lle': '0.96', 'sei': '7.25'}",CHEMBL67268,,CHEMBL67268,6.25,False,http://www.openphacts.org/units/Nanomolar,121082,=,1,True,=,,IC50,nM,,560.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.56
,439646,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cc(-c2ccc(Oc3ccc(CO)cc3)cc2)c2c(N)ncnc21,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '17.65', 'le': '0.32', 'lle': '2.06', 'sei': '7.67'}",CHEMBL70034,,CHEMBL70034,6.61,False,http://www.openphacts.org/units/Nanomolar,121077,=,1,True,=,,IC50,nM,,246.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.246
,442413,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Oc3ccc(N)cc3)cc2)c2c(N)ncnc21,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '16.19', 'le': '0.29', 'lle': '1.24', 'sei': '6.57'}",CHEMBL69068,,CHEMBL69068,6.05,False,http://www.openphacts.org/units/Nanomolar,121066,=,1,True,=,,IC50,nM,,900.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.9
,443640,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.54', 'le': '0.28', 'lle': '0.34', 'sei': '8.45'}",CHEMBL302281,,CHEMBL302281,5.57,True,http://www.openphacts.org/units/Nanomolar,121069,=,1,True,=,,IC50,nM,,2680.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,2.68
,446438,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(CO)n2C1CCCC1,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '16.09', 'le': '0.29', 'lle': '1.36', 'sei': '7.48'}",CHEMBL302279,,CHEMBL302279,6.44,False,http://www.openphacts.org/units/Nanomolar,121088,=,1,True,=,,IC50,nM,,360.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.36
,446445,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cc(-c2ccc(Oc3ccccc3[N+](=O)[O-])cc2)c2c(N)ncnc21,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '14.69', 'le': '0.27', 'lle': '0.76', 'sei': '5.24'}",CHEMBL304113,,CHEMBL304113,5.72,False,http://www.openphacts.org/units/Nanomolar,121081,=,1,True,=,,IC50,nM,,1900.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,1.9
,447792,[],CHEMBL847683,Inhibitory activity against tie-2 at a concentration of 5 uM ATP.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(C(=O)O)n2C1CCCC1,,,CHEMBL1132740,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '15.41', 'le': '0.28', 'lle': '1.10', 'sei': '6.19'}",CHEMBL305748,,CHEMBL305748,6.39,False,http://www.openphacts.org/units/Nanomolar,121073,=,1,True,=,,IC50,nM,,410.0,CHEMBL4128,Homo sapiens,Tyrosine-protein kinase TIE-2,9606,,,IC50,uM,UO_0000065,,0.41
